,sno,complaint,complaint_description,complaint_type,recieved_date,incident_date,county,incident_closed_date,incident_status_desc,incident_zip
0,1,232359,Concerns regarding the oil tank fire at the Rockville F.O. Day asphalt plant. Would like to know safety of outdoor air and status of situation.,"Air, Fumes, Smoke",2024-03-14,2024-03-14,Montgomery,2024-03-18,Incident Closed-Managed,20850
1,2,232358,Concerns regarding the oil tank fire at the Rockville F.O. Day asphalt plant. Would like to know safety of outdoor air and status of situation.,"Air, Fumes, Smoke",2024-03-14,2024-03-14,Montgomery,2024-03-18,Incident Closed-Managed,20850
2,3,232354,concern of loud boom noise in the Cheverly area,Other,2024-03-16,2024-03-16,Prince George's,2024-03-18,Incident Closed-Managed,
3,4,232353,concern of loud boom noise in the Cheverly area,Other,2024-03-16,2024-03-16,Prince George's,2024-03-18,Incident Closed-Managed,
4,5,232351,Concern of strong odor in the Cheverly  area,Other,2024-03-13,2024-03-13,Prince George's,2024-03-18,Incident Closed-Managed,
5,6,232342,Dust from sand blasting vehicles.  No dust control equipment.  Permit for sandblasting remains outstanding.  Dust control equipment remains outstanding.,Air,2024-03-14,2024-03-14,Frederick,,Referred to Attorney General's Office,21757
6,7,232341,Severe odors associated with West Coast Mushrooms or Kilby Farm.,"Air, Fumes, Odor",2024-03-13,2024-03-13,Cecil,,Referred to Outside Agency,21911
7,8,232340,"Neighbor is burning large piles of household trash, including chemicals and plastics.","Air, Open Burning, Smoke",2024-03-13,2024-03-13,Cecil,,Referred to Outside Agency,21921
8,9,232338,Dust from sand blasting vehicles.  No dust control equipment.  Permit for sand blasting remains outstanding.  Dust control equipment remains outstanding.,Air,2024-03-13,2024-03-13,Frederick,,Referred to Attorney General's Office,21757
9,10,232331,Concerns regarding lead content in small aircraft fuel. House is in flight path of Montgomery Air Park. Believes that lead in the aircraft fuel is killing trees on property. Also concerned with lead build up in soil and possible health effects.,"Air, Other",2024-03-12,2024-03-12,Montgomery,2024-03-13,Incident Closed-Managed,20879
10,11,232330,Individual observed releasing refrigerants into atmosphere. Offender was observed doing this multiple times.,"Air, Air Pollutant Release",2024-03-13,2024-03-13,Carroll,2024-03-13,Incident Closed-Managed,
11,12,232326,Smoke from Manufacturing Machine,Smoke,2024-03-06,2023-12-10,Allegany,,Under Investigation,21502
12,13,232325,Dust from sandblasting vehicles without dust control equipment and no permit.  Dust going onto complainant's property and personal vehicles.,Air,2024-03-12,2024-03-12,Frederick,,Referred to Attorney General's Office,21757
13,14,232324,Dust from sand blasting vehicles crossing the property line and getting onto his personal cars and house.,Air,2024-03-11,2024-03-11,Frederick,,Referred to Attorney General's Office,21757
14,15,232323,odor,Air,2024-03-11,2024-03-11,Anne Arundel,,Under Investigation,
15,16,232322,feces and trash odors,Air,2024-03-11,2024-03-11,Anne Arundel,,Under Investigation,
16,17,232321,odor,Air,2024-03-11,2024-03-11,Anne Arundel,,Under Investigation,
17,18,232320,odor,Air,2024-03-08,2024-03-08,Anne Arundel,,Under Investigation,
18,19,232319,odor,Air,2024-03-12,2024-03-08,Anne Arundel,,Under Investigation,
19,20,232316,odor from steam/gas from mulch pile,Air,2024-03-08,2024-03-08,Anne Arundel,,Under Investigation,
20,21,232315,dead fish odor,Air,2024-03-08,2024-03-08,Anne Arundel,,Under Investigation,
21,22,232314,dead animal odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
22,23,232313,gaseous/rotting seafood odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
23,24,232312,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
24,25,232311,rotten fish odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
25,26,232309,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
26,27,232308,decaying odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
27,28,232307,old garbage odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
28,29,232306,Fish odors,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
29,30,232305,sewage odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
30,31,232304,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
31,32,232303,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
32,33,232302,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
33,34,232301,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
34,35,232300,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
35,36,232299,garbage/fish odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
36,37,232298,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
37,38,232296,foul odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
38,39,232295,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
39,40,232291,Odor from the Curtis Creek area,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
40,41,232290,odor from Curtis Bay Medical Waste,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
41,42,232289,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
42,43,232288,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
43,44,232287,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
44,45,232286,fish odor,Air,2024-03-06,2024-03-06,Anne Arundel,,Under Investigation,
45,46,232285,rotting fish odor,Air,2024-03-06,2024-03-06,Anne Arundel,,Under Investigation,
46,47,232284,Foul odor,Air,2024-03-06,2024-03-06,Anne Arundel,,Under Investigation,
47,48,232281,HVAC and mold odors inside his apartment complex.,Air,2024-03-12,2024-03-08,Anne Arundel,2024-03-12,Incident Closed-No Violation Observed,
48,49,232280,Odor from flare burn off gases at the water treatment plant.,Air,2024-03-12,2024-03-08,Frederick,,Under Investigation,
49,50,232279,Plastic containers in his backyard are melting and believed to be from chemical releases from the airplanes.,Air,2024-03-12,2024-03-07,Anne Arundel,2024-03-12,Incident Closed-No Violation Observed,
50,51,232278,Odors from smokers detected in her apartment.,Air,2024-03-12,2024-03-07,Anne Arundel,2024-03-12,Incident Closed-No Violation Observed,
51,52,232273,Open burning creating nuisance smoke.,Open Burning,2024-03-11,2024-03-08,Caroline,2024-03-13,Incident Closed-No Violation Observed,21629
