,sno,complaint,complaint_description,complaint_type,recieved_date,incident_date,county,incident_closed_date,incident_status_desc,incident_zip
0,1,232331,Concerns regarding lead content in small aircraft fuel. House is in flight path of Montgomery Air Park. Believes that lead in the aircraft fuel is killing trees on property. Also concerned with lead build up in soil and possible health effects.,"Air, Other",2024-03-12,2024-03-12,Montgomery,2024-03-13,Incident Closed-Managed,20879
1,2,232330,Individual observed releasing refrigerants into atmosphere. Offender was observed doing this multiple times.,"Air, Air Pollutant Release",2024-03-13,2024-03-13,Carroll,2024-03-13,Incident Closed-Managed,
2,3,232326,Smoke from Manufacturing Machine,Smoke,2024-03-06,2023-12-10,Allegany,,Under Investigation,21502
3,4,232325,Dust from sandblasting vehicles without dust control equipment and no permit.  Dust going onto complainant's property and personal vehicles.,Air,2024-03-12,2024-03-12,Frederick,,Referred to Attorney General's Office,21757
4,5,232324,Dust from sand blasting vehicles crossing the property line and getting onto his personal cars and house.,Air,2024-03-11,2024-03-11,Frederick,,Referred to Attorney General's Office,21757
5,6,232323,odor,Air,2024-03-11,2024-03-11,Anne Arundel,,Under Investigation,
6,7,232322,feces and trash odors,Air,2024-03-11,2024-03-11,Anne Arundel,,Under Investigation,
7,8,232321,odor,Air,2024-03-11,2024-03-11,Anne Arundel,,Under Investigation,
8,9,232320,odor,Air,2024-03-08,2024-03-08,Anne Arundel,,Under Investigation,
9,10,232319,odor,Air,2024-03-12,2024-03-08,Anne Arundel,,Under Investigation,
10,11,232316,odor from steam/gas from mulch pile,Air,2024-03-08,2024-03-08,Anne Arundel,,Under Investigation,
11,12,232315,dead fish odor,Air,2024-03-08,2024-03-08,Anne Arundel,,Under Investigation,
12,13,232314,dead animal odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
13,14,232313,gaseous/rotting seafood odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
14,15,232312,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
15,16,232311,rotten fish odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
16,17,232309,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
17,18,232308,decaying odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
18,19,232307,old garbage odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
19,20,232306,Fish odors,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
20,21,232305,sewage odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
21,22,232304,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
22,23,232303,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
23,24,232302,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
24,25,232301,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
25,26,232300,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
26,27,232299,garbage/fish odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
27,28,232298,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
28,29,232296,foul odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
29,30,232295,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
30,31,232291,Odor from the Curtis Creek area,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
31,32,232290,odor from Curtis Bay Medical Waste,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
32,33,232289,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
33,34,232288,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
34,35,232287,odor,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
35,36,232286,fish odor,Air,2024-03-06,2024-03-06,Anne Arundel,,Under Investigation,
36,37,232285,rotting fish odor,Air,2024-03-06,2024-03-06,Anne Arundel,,Under Investigation,
37,38,232284,Foul odor,Air,2024-03-06,2024-03-06,Anne Arundel,,Under Investigation,
38,39,232281,HVAC and mold odors inside his apartment complex.,Air,2024-03-12,2024-03-08,Anne Arundel,2024-03-12,Incident Closed-No Violation Observed,
39,40,232280,Odor from flare burn off gases at the water treatment plant.,Air,2024-03-12,2024-03-08,Frederick,,Under Investigation,
40,41,232279,Plastic containers in his backyard are melting and believed to be from chemical releases from the airplanes.,Air,2024-03-12,2024-03-07,Anne Arundel,2024-03-12,Incident Closed-No Violation Observed,
41,42,232278,Odors from smokers detected in her apartment.,Air,2024-03-12,2024-03-07,Anne Arundel,2024-03-12,Incident Closed-No Violation Observed,
42,43,232273,Open burning creating nuisance smoke.,Open Burning,2024-03-11,2024-03-08,Caroline,2024-03-13,Incident Closed-No Violation Observed,21629
43,44,232264,concern of loud noise in the Cheverly area,Other,2024-03-06,2024-03-06,Prince George's,2024-03-08,Incident Closed-Managed,
44,45,232263,concern of loud noise in the Cheverly area,Other,2024-03-06,2024-03-06,Prince George's,2024-03-08,Incident Closed-Managed,
45,46,232262,concern of loud noise in the Cheverly area,Other,2024-03-06,2024-03-06,Prince George's,2024-03-08,Incident Closed-Managed,
46,47,232261,concern of loud noise in the Cheverly area,Other,2024-03-06,2024-03-06,Prince George's,2024-03-08,Incident Closed-Managed,
47,48,232260,concern of loud noise in the Cheverly area,Other,2024-03-06,2024-03-06,Prince George's,2024-03-08,Incident Closed-Managed,
48,49,232259,concern of loud noise in the Cheverly area,Other,2024-03-06,2024-03-06,Prince George's,2024-03-08,Incident Closed-Managed,
49,50,232258,concern of loud noise in the Cheverly area,Other,2024-03-06,2024-03-06,Prince George's,2024-03-08,Incident Closed-Managed,
50,51,232257,concern of loud noise in the Cheverly area,Other,2024-03-06,2024-03-06,Prince George's,2024-03-08,Incident Closed-Managed,
51,52,232253,Complainant states odors from Stahl Point Road and states Interstate Racing fuels.,Air,2024-03-07,2024-03-07,Anne Arundel,,Under Investigation,
52,53,232252,"Complainant states odor from the Curtis Medical Waste facility, odor by Curtis Creek bridge and odor detected at her house in Tanyard Cove.",Air,2024-03-07,2024-03-06,Anne Arundel,,Under Investigation,
53,54,232250,Chemical paint odor from a Company mixing paint and painting inside Apartment building.,Air,2024-03-07,2024-03-06,Anne Arundel,2024-03-07,Incident Closed-No Violation Observed,
54,55,232240,Open burning branches causing nuisance,Open Burning,2024-03-04,2024-03-03,Wicomico,2024-03-06,Incident Closed-No Violation Observed,21804
55,56,232216,Odor Complaint,Odor,2024-03-01,2024-03-01,Dorchester,2024-03-01,Incident Closed - No further action,21835
56,57,232215,Odor Complaint,Odor,2024-03-01,2024-03-01,Dorchester,2024-03-01,Incident Closed - No further action,21835
57,58,232214,Odor Complaint,Odor,2024-02-26,2024-02-26,Dorchester,2024-02-26,Incident Closed - No further action,21835
58,59,232205,Neighbor's fireplace is producing large amounts of smoke. Smoke enters into home and onto property. Concerned due to existing health issues.,"Air, Smoke",2024-02-29,2024-02-29,Carroll,,Referred to Outside Agency,
59,60,232204,Concern of loud boom noise in the Cheverly area,Other,2024-02-28,2024-02-28,Prince George's,2024-03-01,Incident Closed-Managed,
60,61,232203,Complainant describes a foul dead animal odor detected today.  She noticed odor at 8:45am when going outside and still lasting beyond notifying the Department today.,Air,2024-03-01,2024-03-01,Anne Arundel,2024-03-08,Incident Closed-No Violation Observed,21090
61,62,232193,Concern of neighbor painting cars,Other,2024-02-27,2024-02-27,Prince George's,2024-02-28,Incident Closed-Managed,20735
62,63,232191,Dust from sandblasting vehicles.  Permit for sandblasting vehicles and dust control equipment remains outstanding issues.,Air,2024-02-28,2024-02-28,Frederick,,Referred to Attorney General's Office,
63,64,232190,Overspray.  Second complaint received.  No filters on exhaust.,Air,2024-02-28,2024-02-28,Charles,,Under Investigation,
64,65,232188,Black smoke coming from the facility,Smoke,2024-02-27,2024-02-26,,,Under Investigation,21226
65,66,232187,Complainant detects smoke odor from firepit at 1158 Bay Highlands Drive.  The police and the fire department have responded to his calls.  The authorities advised him to seek medical attention if his throat was hurting.,Air,2024-02-27,2024-02-27,Anne Arundel,2024-02-28,Incident Closed-No Violation Observed,21403
66,67,232186,Odor Complaint,Odor,2024-02-26,2024-02-26,Anne Arundel,2024-02-26,Incident Closed - No further action,21226
